t,median,q05,q95,q25,q75
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,4.114173220247690499e-01,4.114173220247690499e-01,4.114173220247690499e-01,4.114173220247690499e-01,4.114173220247690499e-01
2.000000000000000000e+00,4.058679696678044735e-01,4.058679696678044735e-01,4.058679696678044735e-01,4.058679696678044735e-01,4.058679696678044735e-01
3.000000000000000000e+00,4.354485767276836672e-01,4.354485767276836672e-01,4.354485767276836672e-01,4.354485767276836672e-01,4.354485767276836672e-01
4.000000000000000000e+00,4.547413783302987622e-01,4.547413783302987622e-01,4.547413783302987622e-01,4.547413783302987622e-01,4.547413783302987622e-01
5.000000000000000000e+00,3.130193897146277271e-01,3.130193897146277271e-01,3.130193897146277271e-01,3.130193897146277271e-01,3.130193897146277271e-01
6.000000000000000000e+00,4.095022615169632285e-01,4.095022615169632285e-01,4.095022615169632285e-01,4.095022615169632285e-01,4.095022615169632285e-01
7.000000000000000000e+00,4.504716970507742779e-01,4.504716970507742779e-01,4.504716970507742779e-01,4.504716970507742779e-01,4.504716970507742779e-01
8.000000000000000000e+00,4.398826966572355057e-01,4.398826966572355057e-01,4.398826966572355057e-01,4.398826966572355057e-01,4.398826966572355057e-01
9.000000000000000000e+00,4.192708322414822053e-01,4.192708322414822053e-01,4.192708322414822053e-01,4.192708322414822053e-01,4.192708322414822053e-01
1.000000000000000000e+01,4.149484525387926448e-01,4.149484525387926448e-01,4.149484525387926448e-01,4.149484525387926448e-01,4.149484525387926448e-01
1.100000000000000000e+01,4.228855710873493101e-01,4.228855710873493101e-01,4.228855710873493101e-01,4.228855710873493101e-01,4.228855710873493101e-01
1.200000000000000000e+01,4.395061717543057300e-01,4.395061717543057300e-01,4.395061717543057300e-01,4.395061717543057300e-01,4.395061717543057300e-01
1.300000000000000000e+01,4.454545444421487699e-01,4.454545444421487699e-01,4.454545444421487699e-01,4.454545444421487699e-01,4.454545444421487699e-01
1.400000000000000000e+01,3.359580043675642891e-01,3.359580043675642891e-01,3.359580043675642891e-01,3.359580043675642891e-01,3.359580043675642891e-01
1.500000000000000000e+01,4.543689311565651812e-01,4.543689311565651812e-01,4.543689311565651812e-01,4.543689311565651812e-01,4.543689311565651812e-01
1.600000000000000000e+01,3.848101256080756483e-01,3.848101256080756483e-01,3.848101256080756483e-01,3.848101256080756483e-01,3.848101256080756483e-01
1.700000000000000000e+01,4.473161024904252492e-01,4.473161024904252492e-01,4.473161024904252492e-01,4.473161024904252492e-01,4.473161024904252492e-01
1.800000000000000000e+01,3.189368760168210248e-01,3.189368760168210248e-01,3.189368760168210248e-01,3.189368760168210248e-01,3.189368760168210248e-01
1.900000000000000000e+01,2.580645155740547980e-01,2.580645155740547980e-01,2.580645155740547980e-01,2.580645155740547980e-01,2.580645155740547980e-01
2.000000000000000000e+01,3.015873007894515623e-01,3.015873007894515623e-01,3.015873007894515623e-01,3.015873007894515623e-01,3.015873007894515623e-01
2.100000000000000000e+01,2.887139100033755401e-01,2.887139100033755401e-01,2.887139100033755401e-01,2.887139100033755401e-01,2.887139100033755401e-01
2.200000000000000000e+01,2.739726019891161601e-01,2.739726019891161601e-01,2.739726019891161601e-01,2.739726019891161601e-01,2.739726019891161601e-01
2.300000000000000000e+01,3.059071723504068196e-01,3.059071723504068196e-01,3.059071723504068196e-01,3.059071723504068196e-01,3.059071723504068196e-01
2.400000000000000000e+01,3.145780043105421697e-01,3.145780043105421697e-01,3.145780043105421697e-01,3.145780043105421697e-01,3.145780043105421697e-01
2.500000000000000000e+01,2.533333327703704008e-01,2.533333327703704008e-01,2.533333327703704008e-01,2.533333327703704008e-01,2.533333327703704008e-01
2.600000000000000000e+01,2.485207095689926926e-01,2.485207095689926926e-01,2.485207095689926926e-01,2.485207095689926926e-01,2.485207095689926926e-01
