period,treated,unserved_total,outflow_wait,outflow_full,outflow_mismatch,referral_success_rate,county_allocation_ratio,avg_referral_path_length,county_occupancy,secondary_occupancy,township_occupancy,county_inpatient_share,secondary_inpatient_share,township_inpatient_share
0,227,170,1,12,157,0.0,0.5,1.0,0.0,0.9354943156020227,0.9013749063444095,0.0,1.0,0.08056872037914692
1,545,23,0,0,23,0.0,0.5,1.0,0.9387879662444258,0.9317766276593434,0.8934443208137083,1.0,1.0,0.058823529411764705
2,444,28,0,0,28,0.0,0.5,1.0,0.7979155885287993,0.9506284811117494,0.8023472161652464,1.0,1.0,0.07659574468085106
3,457,32,0,0,32,0.0,0.5,1.0,0.914159171577124,0.688541898113687,0.839824944835218,1.0,1.0,0.07818930041152264
4,461,19,3,0,16,0.0,0.5,1.0,0.8544809327595368,0.8861888034747035,0.7945865918643762,1.0,1.0,0.07480314960629922
5,438,22,5,0,17,0.0,0.5,1.0,0.7457681229246473,0.9475524444961109,0.627065087269695,1.0,1.0,0.05063291139240506
6,381,18,4,0,14,0.0,0.5,1.0,0.6911415595486108,0.36908833095050075,0.589917846900363,1.0,1.0,0.06787330316742081
7,442,12,0,0,12,0.0,0.5,1.0,0.8562624730652363,0.976321978763105,0.7250631440459882,1.0,1.0,0.07894736842105263
8,372,20,0,0,20,0.0,0.5,1.0,0.6909815839751804,0.6908787709649549,0.7397961060572068,1.0,1.0,0.06598984771573604
9,374,22,0,0,22,0.0,0.5,1.0,0.6573574245356293,0.5502465694199465,0.730148601518996,1.0,1.0,0.07211538461538461
10,385,17,0,0,17,0.0,0.5,1.0,0.7126675604124477,0.6535787248273178,0.6908721520960465,1.0,1.0,0.06018518518518518
11,420,27,0,0,27,0.0,0.5,1.0,0.6827930335367338,0.9271250582234735,0.7617858128228183,1.0,1.0,0.056451612903225805
12,437,0,0,0,0,0.0,0.5,1.0,0.7594852597738279,0.9768384170973676,0.6984388945089285,1.0,1.0,0.05785123966942149
13,452,0,0,0,0,0.0,0.5,1.0,0.9140460997680818,0.9000839300102506,0.7030537738599665,1.0,1.0,0.06896551724137931
14,481,0,0,0,0,0.0,0.5,1.0,0.9551265018816921,0.8388924439121627,0.7467393027229601,1.0,1.0,0.07392996108949416
15,487,3,0,3,0,0.0,0.5,1.0,0.9991620946159812,0.4921292366265856,0.7788700952724389,1.0,1.0,0.07327586206896551
16,254,222,130,6,86,0.0,0.5,1.0,0.02417075096437551,0.5373676311151404,0.6309267798110866,1.0,1.0,0.05106382978723404
17,556,1,0,1,0,0.0,0.5,1.0,0.9980808059587546,0.9976558153337233,0.7083498806879887,1.0,1.0,0.059800664451827246
18,425,0,0,0,0,0.0,0.3,1.0,0.843533559925918,0.4789949907692423,0.05820111284469457,1.0,1.0,0.0782608695652174
19,399,0,0,0,0,0.0,0.3,1.0,0.5408409175077699,0.06870135307415386,0.605411209974932,1.0,1.0,0.30851063829787234
20,404,0,0,0,0,0.0,0.3,1.0,0.6790535159808296,0.023858380206576754,0.3307022727414576,1.0,1.0,0.23809523809523808
21,392,0,0,0,0,0.0,0.3,1.0,0.6176585122335168,0.12810136854202386,0.5372177505779384,1.0,1.0,0.29844961240310075
22,426,0,0,0,0,0.0,0.3,1.0,0.7406858190887797,0.19386148301859904,0.45239041055387885,1.0,1.0,0.22807017543859648
23,390,0,0,0,0,0.0,0.3,1.0,0.7261340318408509,0.05683984494197708,0.37640373184351145,1.0,1.0,0.2139917695473251
24,412,0,0,0,0,0.0,0.3,1.0,0.9298324394648079,0.0,0.3008109696841778,1.0,0.0,0.20647773279352227
25,428,0,0,0,0,0.0,0.3,1.0,0.815914118588952,0.01,0.3871925723968005,1.0,1.0,0.23333333333333334
26,450,7,0,0,7,0.0,0.3,1.0,0.9635760702219521,0.09082298492438255,0.3813769429572815,1.0,1.0,0.21641791044776118
27,399,25,0,0,25,0.0,0.3,1.0,0.7270401197718079,0.03921931008453188,0.3459060230286616,1.0,1.0,0.23076923076923078
28,512,32,0,0,32,0.0,0.3,1.0,0.942494625860206,0.17086752100087904,0.3606019181897167,1.0,1.0,0.19504643962848298
